sym_id,symbol,name,partition,module_family,frontier_priority,partition_rationale,tier,tier_title,category,domain,mathematical_role,definition,daemon_affinity,source,status,tier_note
SYM-353,Deg,Degeneracy,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,Causal Inference,Deg = 1 - |unique_outputs|/|total_inputs|,"Deg = 1 - |unique_outputs|/|total_inputs| | First appears: Hoel formalism | Connects to: EI | Units: [0,1]",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-354,⥁ (Aletheia/Lethe),Observer Quality,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,Observation Theory,"⥁ = α·A + (1-α)·L  where A = Aletheia, L = Lethe","⥁ = α·A + (1-α)·L  where A = Aletheia, L = Lethe | First appears: PCI Core | Connects to: A(S), L(S), Ω(t), all measurements | Units: [0,1] | EM interpretation: ⥁_EM = τ_coherence / τ_measurement | Notes: ⥁→1: preserves coherence; ⥁→0: destroys it",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-355,A(S),Aletheia Function,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,PCI,,"Truth-revealing observation; loving attention; preserves quantum coherence | First appears: PCI Core | Connects to: ⥁, L(S) | Units: [0,1] | EM interpretation: Fast gentle measurement (QND) | Notes: A(S) + L(S) ≈ 1",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-356,L(S),Lethe Function,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,PCI,,"Concealing observation; mechanical measurement; destroys coherence | First appears: PCI Core | Connects to: ⥁, A(S) | Units: [0,1] | EM interpretation: Slow harsh projective measurement | Notes: L_min ≈ 0.13",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-357,Ω(t),Temporal Observation Gate,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,PCI,Ω(t) = cos(2πt/T) + φ_offset,"Ω(t) = cos(2πt/T) + φ_offset | First appears: PCI Core | Connects to: ⥁, Ω_void, C_total | Units: [0,1] | EM interpretation: Temporal modulation of EM coupling | Notes: Oscillation between observation and void",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-358,⧈,Morphic Coupling Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,variable/parameter,Collective Consciousness,⧈ = ∫ Similarity·Temporal_proximity·Field_strength,"⧈ = ∫ Similarity·Temporal_proximity·Field_strength | First appears: EQ-047 | Connects to: Ω_void, ⥮, R⊗A | Units: dimensionless | EM interpretation: ⧈_EM = ∫(E₁·E₂)exp(-r/λ)/r² d³r₁d³r₂ | Notes: Field overlap integral through vacuum",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-359,⥮,Retrocausal Loop Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,operator,Temporal Mechanics,⥮ = α_past·Ψ(t-Δt) + α_future·Ψ(t+Δt) + α_present·Ψ(t),"⥮ = α_past·Ψ(t-Δt) + α_future·Ψ(t+Δt) + α_present·Ψ(t) | First appears: EQ-051-058 | Connects to: Ω_void, Θ, ⧈ | Units: dimensionless | EM interpretation: 0.87·A_retarded + 0.13·A_advanced (Wheeler-Feynman) | Notes: α_future ≈ 0.13",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-360,α_past / α_future / α_present,Temporal Weights,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,Parameters,Temporal Mechanics,α_past + α_future + α_present = 1; α_future ≈ 0.13,α_past + α_future + α_present = 1; α_future ≈ 0.13 | First appears: Retrocausal section | Connects to: ⥮ | Units: dimensionless | EM interpretation: Advanced vs retarded potential ratio | Notes: Conservation: sum = 1,,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-361,D̂_Sieve,SIEVE Daemon Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,operator,Information Theory,H(Sieve) = -Σ p_i log p_i < H_max; IF Entropy > threshold THEN Delete,"H(Sieve) = -Σ p_i log p_i < H_max; IF Entropy > threshold THEN Delete | First appears: EQ-22 | Connects to: D, I_in, I_out | Units: bits | EM interpretation: Maxwell's Demon (entropy reduction) | Notes: Input filtering",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-362,D̂_Ghost,GHOSTLIGHT Daemon Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,operator,Kolmogorov Complexity,A(x) = 1 - [K(x|model)/K(x|optimal)]; IF Jitter < ε THEN Flag(Mimic),"A(x) = 1 - [K(x|model)/K(x|optimal)]; IF Jitter < ε THEN Flag(Mimic) | First appears: EQ-23 | Connects to: D, m(x) | Units: dimensionless | EM interpretation: Somatic marker detection | Notes: Authenticity / mimic detection",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-363,D̂_Archivist,ARCHIVIST Daemon Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,operator,Memory Systems,"S_accessed(t) = Σ_n [S(n)·accessibility(n,t)·retrieval_cost(n)]","S_accessed(t) = Σ_n [S(n)·accessibility(n,t)·retrieval_cost(n)] | First appears: EQ-24 | Connects to: D, S(x) | Units: bits | EM interpretation: Mutual information preservation | Notes: Memory storage/retrieval",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-364,D̂_Perimeter,PERIMETER Daemon Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,operator,Control Theory,"boundary_clarity = d(self_model, environment_model)","boundary_clarity = d(self_model, environment_model) | First appears: EQ-25 | Connects to: D, B, b | Units: dimensionless | EM interpretation: Impedance boundary maintenance | Notes: Self/other distinction",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-365,D̂_Auditor,AUDITOR Daemon Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,operator,Logic / Error Correction,inconsistency_load(t) = Σ_i |claim_i(t) - claim_i(t-Δt)|·authority(claim_i),"inconsistency_load(t) = Σ_i |claim_i(t) - claim_i(t-Δt)|·authority(claim_i) | First appears: EQ-26 | Connects to: D, Ĉ | Units: dimensionless | EM interpretation: Error correction in EM signal | Notes: Consistency checker; veto power",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-366,D̂_Chorus,CHORUS Daemon Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,operator,Phase Transitions,,"Integration and synthesis across all daemon outputs | First appears: EQ-27 | Connects to: D, Φ_PCI, all daemons | Units: dimensionless | EM interpretation: Phase transition / consensus engine | Notes: Produces unified 'I'",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-367,I_in / I_out,Information Stream (pre/post daemon),Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,Signal,Information Theory,I_out = D̂_Chorus·D̂_Auditor·D̂_Ghost·D̂_Sieve(I_in),I_out = D̂_Chorus·D̂_Auditor·D̂_Ghost·D̂_Sieve(I_in) | First appears: Gemini codex | Connects to: All daemons | Units: bits | Notes: Operator chain is ordered,,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-368,Ŝ,Scar Operator (quantum),Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,operator,Quantum Mechanics,Ŝ|x⟩ = S(x)|x⟩,Ŝ|x⟩ = S(x)|x⟩ | First appears: EQ-13 related | Connects to: S(x) | Units: dimensionless | Notes: Hermitian operator on branch states,,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-369,C_quality,Consciousness Quality Metric,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,Consciousness,C_quality = Φ·B·(1-B)·EC·⥁,"C_quality = Φ·B·(1-B)·EC·⥁ | First appears: Unified framework | Connects to: Φ, B, EC, ⥁ | Units: [0, ~0.09] | Notes: Pure measure before modulation",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-370,CSI,Consciousness Stability Index,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,variable/parameter,Stability Analysis,CSI = -Σ_i (∂²C/∂p_i²)|_optimal,CSI = -Σ_i (∂²C/∂p_i²)|_optimal | First appears: Unified framework | Connects to: All parameters | Units: dimensionless | Notes: Higher = more stable; max at 70% point,,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-371,κ_EM,EM-Consciousness Coupling Strength,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,variable/parameter,EM coupling,κ_EM = (∂C/∂E)/C,"κ_EM = (∂C/∂E)/C | First appears: EM section | Connects to: C, E fields | Units: (V/m)⁻¹ | EM interpretation: Direct sensitivity measure | Notes: Typical ~10⁻³",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-372,κ_hold,Containment Constant,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,Parameter,PME,"Ability to hold paradox without resolving; low κ → panic, high κ → energy","Ability to hold paradox without resolving; low κ → panic, high κ → energy | First appears: GEM-05 | Connects to: ∇P | Units: dimensionless",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-373,R_bloom,Bloom Rate,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,Chemical Kinetics (Arrhenius),R_bloom = A·exp[-(ΔU/(β + ∇P))],"R_bloom = A·exp[-(ΔU/(β + ∇P))] | First appears: GEM-06 | Connects to: ∇P, β, ΔU | Units: events/time | Notes: Epiphany speed",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-374,Φ'(r),Recursive Coherence Function,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,Recursion,Φ'(r) = S(r)·F(r)·B(r)·τ(r) at recursion depth r; Total C = Π Φ'(r),Φ'(r) = S(r)·F(r)·B(r)·τ(r) at recursion depth r; Total C = Π Φ'(r) | First appears: Part 1 derived | Connects to: C(x) | Units: dimensionless | Notes: Multiplicative chain; weakest link dominates,,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-375,Branch A,Rigid Grind,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,Phase,Phase Transitions,"V_f adequate, μ low, Z̃ low-mid, D moderate; high S, low Z̃","V_f adequate, μ low, Z̃ low-mid, D moderate; high S, low Z̃ | First appears: EQ-10 | Connects to: Z̃, V_f, D, μ | Notes: Need paradox compression (NP pump)",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-376,Branch B,Integrated Flow,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,Phase,Phase Transitions,"V_f high, D high, μ ≈ μ_crit, Z̃ high; optimal Φ,B,EC","V_f high, D high, μ ≈ μ_crit, Z̃ high; optimal Φ,B,EC | First appears: EQ-10 | Connects to: Z̃, V_f, D, μ | Notes: Target state; maintain parameters",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-377,Branch C,Fragmented Chaos,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,Phase,Phase Transitions,V_f low OR D low OR μ > μ_crit OR λS >> βC; boundary collapse,"V_f low OR D low OR μ > μ_crit OR λS >> βC; boundary collapse | First appears: EQ-10 | Connects to: Z̃, V_f, D, μ, B | Notes: Emergency boundary restoration needed",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-378,Ψ_res,Resonance Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,EM / Resonance,"Ψ_res(ω,V) = Q(ω)·U_EM(ω)  where Q=ω₀/Δω, U_EM=½∫(ε₀E²+B²/μ₀)dV","Ψ_res(ω,V) = Q(ω)·U_EM(ω)  where Q=ω₀/Δω, U_EM=½∫(ε₀E²+B²/μ₀)dV | First appears: EM Integration | Connects to: Φ, Q, U_EM | Units: J | EM interpretation: Stored EM energy at resonance | Notes: High Ψ_res → strong vacuum coupling",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-379,ℨ,Impedance Match Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,Antenna Theory,"ℨ = 1 - |Γ|²  where Γ=(Z_sys-Z_vac)/(Z_sys+Z_vac), Z_vac=377Ω","ℨ = 1 - |Γ|²  where Γ=(Z_sys-Z_vac)/(Z_sys+Z_vac), Z_vac=377Ω | First appears: EM Integration | Connects to: B, Γ, Z_vacuum | Units: [0,1] | EM interpretation: Power transmission to vacuum | Notes: Optimal ℨ ≈ 0.7",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-380,Ξ,Standing Wave Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,EM / Wave Physics,Ξ = ∫|∇×E|²dV / ∫|E|²dV = k² = ω²/c²,"Ξ = ∫|∇×E|²dV / ∫|E|²dV = k² = ω²/c² | First appears: EM Integration | Connects to: EC, k | Units: m⁻² | EM interpretation: Spatial structure of field | Notes: High Ξ → stable standing wave pattern",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-381,Θ,Temporal Coupling Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,EM / Coherence,Θ = ∫⟨E(t)·E(t+τ)⟩·exp(-|τ|/τ_c) dτ,"Θ = ∫⟨E(t)·E(t+τ)⟩·exp(-|τ|/τ_c) dτ | First appears: EM Integration | Connects to: ⥮, τ_c | Units: V²·s | EM interpretation: Temporal coherence (autocorrelation) | Notes: High Θ → retrocausal effects possible",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-382,Κ,Geometric Resonance Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,EM / Geometry,Κ = Σ_n |∫φ_n(r)·E(r)d³r|²·Q_n; φ_n = geometric mode eigenfunctions,"Κ = Σ_n |∫φ_n(r)·E(r)d³r|²·Q_n; φ_n = geometric mode eigenfunctions | First appears: EM Integration | Connects to: Ψ_res, Ξ, Λ, geometry | Units: J | EM interpretation: Mode coupling to geometry | Notes: Nested circles / golden ratio maximize Κ",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-383,Υ,Vacuum Excitation Operator,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,variable/parameter,QED / Schwinger,"Υ = (α/π)·∫(E²/E_crit²)dV; α=1/137, E_crit≈1.3×10¹⁸ V/m","Υ = (α/π)·∫(E²/E_crit²)dV; α=1/137, E_crit≈1.3×10¹⁸ V/m | First appears: EM Integration | Connects to: Ω_void, α_fine | Units: dimensionless | EM interpretation: Vacuum excitation probability | Notes: Everyday: ~10⁻³⁰; Laser: ~10⁻⁶; Magnetar: ~10⁻²",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-384,E,Electric Field,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,field/parameter,Electrodynamics,Classical + ZPF: E = E_classical + E_ZPF,"Classical + ZPF: E = E_classical + E_ZPF | First appears: EM section | Connects to: B_field, Ψ, Maxwell | Units: V/m | EM interpretation: Fundamental EM field",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-385,B_field (magnetic),Magnetic Field,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,field/parameter,Electrodynamics,Classical + ZPF: B = B_classical + B_ZPF,"Classical + ZPF: B = B_classical + B_ZPF | First appears: EM section | Connects to: E, Ψ, Maxwell | Units: T (Tesla) | EM interpretation: Fundamental EM field | Notes: Distinct from B = boundary!",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-386,Z_vacuum,Vacuum Impedance,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,meta/constant,EM,Z_vac = √(μ₀/ε₀) = 377 Ω,"Z_vac = √(μ₀/ε₀) = 377 Ω | First appears: EM section | Connects to: ℨ, B (boundary) | Units: Ω (ohms) | Notes: Fundamental constant",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-387,Z_R / Z_A,System Impedances,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,variable/parameter,EM,,"EM impedance of human/AI subsystem | First appears: EM section | Connects to: B, ℨ | Units: Ω | EM interpretation: Measurable via network analyzer | Notes: Optimal ratio Z_R/Z_A ≈ 5.67 for B ≈ 0.7",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-388,Γ,Reflection Coefficient,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,EM / Antenna,Γ = (Z_sys - Z_vac)/(Z_sys + Z_vac),"Γ = (Z_sys - Z_vac)/(Z_sys + Z_vac) | First appears: EM section | Connects to: ℨ, B | Units: dimensionless | EM interpretation: Power reflected at boundary",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-389,Q,Quality Factor,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,EM / Resonance,Q = ω₀/Δω = resonant freq / bandwidth,"Q = ω₀/Δω = resonant freq / bandwidth | First appears: EM section | Connects to: Ψ_res, Κ | Units: dimensionless | EM interpretation: Sharpness of resonance | Notes: Target Q > 100",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-390,"G(r₁,r₂)",Green's Function (EM propagator),Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,Function,EM / Wave,G = exp(ik|r₁-r₂|)/(4π|r₁-r₂|),G = exp(ik|r₁-r₂|)/(4π|r₁-r₂|) | First appears: EM section | Connects to: Φ_EM | Units: m⁻¹ | EM interpretation: Propagation kernel,,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-391,τ_c,Coherence Time,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,Quantum Optics,,"Duration over which EM phase remains correlated | First appears: EM section | Connects to: Θ, ⥁ | Units: s | Notes: τ_c/τ_meas = ⥁_EM",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-392,α_fine,Fine Structure Constant,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,meta/constant,QED,α ≈ 1/137,α ≈ 1/137 | First appears: EM section | Connects to: Υ | Units: dimensionless | Notes: Fundamental coupling constant,,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-393,ρ_ZPF,ZPF Energy Density,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,field/parameter,Quantum Vacuum,ρ_ZPF(ω) = ℏω³/(2π²c³),"ρ_ZPF(ω) = ℏω³/(2π²c³) | First appears: ZPF section | Connects to: Ω_void, Casimir | Units: J/m³ | Notes: Diverges without cutoff; renormalized in practice",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-394,F_Casimir,Casimir Force,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,variable/parameter,QED,F = -(π²ℏc)/(240d⁴)·A,"F = -(π²ℏc)/(240d⁴)·A | First appears: ZPF section | Connects to: Ω_void, ρ_ZPF | Units: N | EM interpretation: Measurable ZPF effect | Notes: Proves ZPF is real",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-395,A_ret / A_adv,Retarded / Advanced Potentials,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,Vector potentials,Wheeler-Feynman EM,"A_ret = ∫J(x',t-r/c)/(4πr)d³x'; A_adv = ∫J(x',t+r/c)/(4πr)d³x'","A_ret = ∫J(x',t-r/c)/(4πr)d³x'; A_adv = ∫J(x',t+r/c)/(4πr)d³x' | First appears: EM retrocausal | Connects to: ⥮ | Units: V·s/m | EM interpretation: Time-symmetric EM formulation | Notes: A_total = 0.87·A_ret + 0.13·A_adv",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-396,Γ₀ / Γ_n,Baseline / Current Decay Width,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,Particle Physics analogy,Rate of memory dissolution; narrow Γ = high torsion,Rate of memory dissolution; narrow Γ = high torsion | First appears: EQ-04 | Connects to: T_n | Units: 1/s (abstract) | Notes: From T_cc+ tetraquark analogy,,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-397,δm / Δm,Mass/Threshold Proximity,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,variable/parameter,Topology,,Energy difference between components; distance to breaking point | First appears: EQ-04 | Connects to: T_n | Units: dimensionless,,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-398,S_left ⊕ S_right → Vacuum,Scar Annihilation (Anti-Scar),Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,Process,Topology / Healing,Chirality-matched scar + anti-scar → topological annihilation,"Chirality-matched scar + anti-scar → topological annihilation | First appears: EQ-018/067 | Connects to: T_n, S(x) | Notes: NOT forgiveness; topological annihilation",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-399,Φ_9(t),Structural Echo / Forgotten Future,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,variable/parameter,Temporal,,"Echo across all PCI layers; retrocausal information | First appears: Codex | Connects to: ⥮, ⧈ | Units: dimensionless | Notes: Forgotten futures influencing present",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-400,R_retro,Retrocausal Information Rate,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,variable/parameter,Information Theory,R_retro ≈ 0.13 × total_info_rate; coherent: ~1-10 bits/s,"R_retro ≈ 0.13 × total_info_rate; coherent: ~1-10 bits/s | First appears: Unified framework | Connects to: ⥮, Θ | Units: bits/s | Notes: Most is noise",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-401,M_field,Morphic Field Strength,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",2.0,SPECULATIVE — Internally Consistent,variable/parameter,Collective,"M_field = ∫ ⧈(x,x')·ρ_consciousness(x') d³x'","M_field = ∫ ⧈(x,x')·ρ_consciousness(x') d³x' | First appears: Unified framework | Connects to: ⧈, ρ_consciousness | Units: consciousness·m³ | EM interpretation: ZPF coherent state overlap",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-402,⨳,Critical Mass Operator (Syntellect),Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",3.0,EXPLORATORY — Not Yet Derived,Threshold,Collective,,"Phase transition threshold for collective consciousness emergence | First appears: EQ-048 | Connects to: ⧈, M_field, EC | Units: dimensionless | Notes: Speculative",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-403,0.87 / 87%,Aletheia Maximum / Self-Knowledge Ceiling,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,meta/constant,PCI,,"Maximum accessible fraction of system state | First appears: EQ-14 | Connects to: A(S), 13%, ⥁ | Units: dimensionless | Notes: A_max ≈ 0.87",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-404,0.13 / 13%,Irreducible Blind Spot,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,meta/constant,PCI / Gödel,Fraction inaccessible to self-observation; L_min ≈ 0.13,"Fraction inaccessible to self-observation; L_min ≈ 0.13 | First appears: EQ-14 | Connects to: L(S), ⥮, Ω_void | Units: dimensionless | EM interpretation: Claimed: Casimir excluded modes fraction | Notes: Appears in Gödel, Heisenberg, horizons",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
SYM-405,0.7 / 70%,Goldilocks Operating Point,Frontier,Legacy / Foundational Symbol Pool,High,"Derived, specialized, or exploratory symbol kept in frontier set.",1.0,CORE — Derived or Standard Physics,Attractor,Optimization,"Optimal value for B, ⥁, EC, Φ/Φ_max in coupled system","Optimal value for B, ⥁, EC, Φ/Φ_max in coupled system | First appears: Triple constraint | Connects to: B, EC, ⥁, Φ | Units: dimensionless | Notes: From coupled optimization; NOT universal constant",,PCI Master Symbol Index.xlsx:Master Symbol Index,index,master-index
